iter	Passed	Remaining
0	177	176957
1	184	91822
2	188	62714
3	193	48119
4	198	39457
5	202	33606
6	210	29884
7	215	26711
8	218	24069
9	221	21947
10	224	20200
11	228	18805
12	230	17525
13	233	16414
14	234	15429
15	236	14569
16	238	13817
17	245	13384
18	247	12758
19	248	12194
20	250	11685
21	252	11219
22	254	10792
23	255	10403
24	257	10047
25	259	9716
26	261	9409
27	262	9126
28	264	8862
29	266	8616
30	268	8386
31	270	8171
32	271	7970
33	299	8497
34	300	8295
35	302	8105
36	304	7926
37	306	7756
38	308	7591
39	309	7435
40	311	7287
41	313	7149
42	315	7025
43	318	6910
44	319	6788
45	321	6671
46	323	6558
47	325	6450
48	327	6346
49	334	6352
50	336	6253
51	337	6157
52	339	6075
53	341	5984
54	343	5893
55	344	5805
56	345	5720
57	347	5640
58	348	5561
59	350	5485
60	351	5412
61	353	5348
62	355	5284
63	366	5362
64	374	5380
65	376	5323
66	378	5266
67	378	5193
68	380	5133
69	381	5072
70	383	5011
71	384	4955
72	385	4897
73	386	4841
74	388	4786
75	389	4733
76	390	4686
77	392	4635
78	393	4585
79	394	4537
80	395	4489
81	396	4442
82	398	4399
83	399	4356
84	400	4309
85	401	4267
86	402	4222
87	403	4182
88	404	4143
89	406	4107
90	407	4069
91	408	4033
92	409	3997
93	411	3962
94	412	3931
95	414	3903
96	415	3870
97	416	3837
98	418	3806
99	419	3774
100	420	3744
101	421	3709
102	422	3679
103	423	3650
104	424	3622
105	426	3594
106	427	3568
107	428	3540
108	429	3514
109	431	3488
110	432	3462
111	433	3437
112	434	3413
113	436	3388
114	437	3364
115	438	3339
116	439	3316
117	440	3293
118	441	3268
119	442	3246
120	443	3224
121	445	3203
122	445	3178
123	446	3157
124	448	3136
125	449	3117
126	450	3097
127	451	3075
128	452	3056
129	453	3037
130	455	3018
131	456	3000
132	457	2981
133	458	2963
134	459	2945
135	460	2928
136	462	2910
137	463	2892
138	464	2876
139	465	2859
140	467	2845
141	468	2833
142	470	2817
143	471	2801
144	472	2786
145	473	2770
146	474	2755
147	476	2740
148	477	2726
149	478	2713
150	480	2698
151	481	2686
152	482	2672
153	483	2658
154	485	2644
155	486	2630
156	487	2616
157	488	2604
158	489	2590
159	491	2577
160	492	2565
161	493	2554
162	494	2541
163	496	2529
164	497	2516
165	498	2504
166	499	2492
167	500	2480
168	501	2468
169	503	2456
170	504	2445
171	505	2433
172	506	2422
173	507	2411
174	509	2401
175	510	2390
176	511	2379
177	513	2369
178	514	2358
179	515	2347
180	515	2334
181	517	2324
182	518	2313
183	519	2303
184	520	2293
185	521	2283
186	523	2274
187	524	2264
188	525	2255
189	526	2245
190	527	2236
191	529	2226
192	530	2217
193	531	2208
194	532	2198
195	533	2189
196	535	2180
197	536	2172
198	538	2166
199	539	2159
200	541	2150
201	542	2141
202	543	2133
203	544	2124
204	545	2115
205	546	2107
206	548	2099
207	549	2091
208	550	2083
209	551	2076
210	553	2068
211	554	2061
212	555	2053
213	556	2045
214	558	2037
215	559	2029
216	560	2021
217	561	2014
218	562	2006
219	563	1999
220	565	1991
221	566	1984
222	567	1977
223	568	1970
224	569	1963
225	571	1956
226	572	1949
227	573	1941
228	574	1934
229	575	1927
230	577	1921
231	578	1914
232	579	1907
233	580	1900
234	581	1894
235	583	1887
236	584	1880
237	585	1874
238	586	1867
239	587	1861
240	589	1855
241	590	1848
242	591	1842
243	592	1837
244	594	1830
245	595	1824
246	596	1818
247	597	1812
248	599	1806
249	600	1800
250	601	1794
251	602	1788
252	603	1782
253	604	1776
254	606	1770
255	607	1764
256	608	1759
257	609	1753
258	610	1747
259	612	1741
260	613	1736
261	614	1730
262	615	1725
263	616	1719
264	617	1713
265	619	1708
266	620	1702
267	621	1697
268	622	1691
269	623	1686
270	624	1681
271	626	1675
272	627	1670
273	628	1665
274	629	1660
275	631	1655
276	632	1650
277	633	1645
278	634	1640
279	635	1635
280	637	1629
281	638	1624
282	639	1619
283	640	1614
284	641	1610
285	643	1605
286	644	1600
287	645	1595
288	646	1590
289	647	1585
290	648	1581
291	650	1576
292	651	1571
293	652	1567
294	653	1562
295	654	1557
296	656	1552
297	657	1548
298	658	1543
299	659	1538
300	660	1534
301	662	1530
302	663	1525
303	664	1521
304	665	1516
305	666	1512
306	668	1508
307	669	1503
308	670	1499
309	671	1495
310	672	1490
311	674	1486
312	675	1482
313	676	1478
314	677	1474
315	679	1469
316	680	1465
317	681	1461
318	682	1456
319	683	1452
320	684	1448
321	686	1444
322	687	1440
323	688	1436
324	689	1432
325	690	1428
326	692	1424
327	693	1420
328	694	1416
329	695	1412
330	696	1408
331	697	1404
332	699	1400
333	700	1397
334	701	1393
335	703	1389
336	704	1385
337	705	1381
338	706	1377
339	707	1374
340	709	1370
341	710	1366
342	711	1362
343	712	1358
344	713	1355
345	715	1351
346	716	1348
347	718	1345
348	719	1341
349	720	1337
350	721	1334
351	722	1330
352	723	1326
353	725	1323
354	726	1319
355	727	1315
356	728	1312
357	729	1308
358	731	1305
359	732	1301
360	733	1298
361	734	1294
362	735	1291
363	737	1288
364	738	1284
365	739	1281
366	740	1277
367	741	1274
368	743	1270
369	744	1267
370	745	1264
371	746	1260
372	748	1257
373	749	1254
374	750	1250
375	751	1247
376	752	1244
377	754	1241
378	755	1237
379	756	1234
380	757	1231
381	758	1227
382	760	1224
383	761	1221
384	762	1218
385	763	1214
386	764	1211
387	766	1208
388	767	1205
389	768	1202
390	769	1198
391	771	1195
392	772	1193
393	774	1191
394	775	1188
395	776	1184
396	778	1181
397	779	1178
398	780	1175
399	781	1172
400	782	1169
401	784	1166
402	785	1163
403	786	1160
404	787	1157
405	789	1154
406	790	1151
407	791	1148
408	792	1145
409	793	1142
410	794	1139
411	796	1136
412	797	1133
413	798	1130
414	799	1127
415	801	1124
416	802	1121
417	803	1118
418	804	1115
419	805	1112
420	807	1109
421	808	1107
422	809	1104
423	810	1101
424	811	1098
425	813	1095
426	814	1093
427	815	1090
428	816	1087
429	817	1084
430	819	1081
431	820	1078
432	821	1075
433	822	1072
434	823	1070
435	825	1067
436	826	1064
437	827	1062
438	828	1059
439	830	1056
440	831	1053
441	832	1050
442	833	1048
443	835	1045
444	836	1042
445	837	1040
446	838	1037
447	839	1034
448	841	1032
449	842	1029
450	843	1026
451	844	1024
452	845	1021
453	846	1018
454	848	1016
455	849	1013
456	850	1010
457	851	1007
458	852	1005
459	854	1002
460	855	1000
461	856	997
462	857	994
463	858	992
464	860	989
465	861	986
466	862	984
467	863	981
468	864	979
469	866	976
470	867	974
471	868	971
472	869	968
473	870	966
474	871	963
475	873	961
476	874	958
477	875	956
478	876	953
479	878	951
480	879	948
481	880	946
482	881	943
483	882	941
484	884	938
485	885	936
486	886	933
487	887	931
488	888	928
489	889	926
490	891	923
491	892	921
492	893	918
493	894	916
494	896	914
495	897	912
496	898	909
497	899	907
498	901	904
499	902	902
500	903	900
501	904	897
502	906	895
503	907	893
504	908	890
505	909	888
506	911	885
507	912	883
508	913	881
509	914	878
510	915	876
511	916	873
512	918	871
513	919	869
514	920	866
515	921	864
516	923	862
517	924	860
518	925	857
519	926	855
520	927	853
521	929	850
522	930	848
523	931	846
524	932	843
525	933	841
526	934	839
527	936	836
528	937	834
529	939	832
530	940	830
531	941	828
532	942	825
533	943	823
534	944	821
535	946	819
536	947	816
537	948	814
538	949	812
539	951	810
540	952	808
541	953	805
542	954	803
543	955	801
544	957	799
545	958	796
546	959	794
547	960	792
548	961	790
549	963	787
550	964	785
551	965	783
552	967	781
553	968	779
554	970	777
555	971	775
556	972	773
557	973	771
558	974	768
559	975	766
560	977	764
561	978	762
562	979	760
563	981	758
564	982	756
565	984	754
566	985	752
567	986	750
568	987	748
569	988	745
570	989	743
571	991	741
572	992	739
573	993	737
574	995	735
575	996	733
576	997	731
577	998	729
578	1000	727
579	1001	725
580	1002	722
581	1003	720
582	1004	718
583	1006	716
584	1007	714
585	1008	712
586	1009	710
587	1011	708
588	1012	706
589	1013	704
590	1014	702
591	1015	700
592	1016	697
593	1018	695
594	1019	693
595	1020	691
596	1021	689
597	1022	687
598	1024	685
599	1025	683
600	1026	681
601	1027	679
602	1029	677
603	1030	675
604	1031	673
605	1032	671
606	1033	669
607	1034	667
608	1036	665
609	1037	663
610	1038	661
611	1039	659
612	1041	657
613	1042	655
614	1043	653
615	1044	651
616	1045	649
617	1047	647
618	1048	645
619	1049	643
620	1050	641
621	1051	639
622	1052	637
623	1054	635
624	1055	633
625	1056	631
626	1057	629
627	1058	627
628	1059	625
629	1061	623
630	1062	621
631	1063	619
632	1065	617
633	1066	615
634	1068	613
635	1069	612
636	1071	610
637	1072	608
638	1073	606
639	1074	604
640	1076	602
641	1077	600
642	1078	598
643	1079	596
644	1081	595
645	1082	593
646	1083	591
647	1084	589
648	1085	587
649	1087	585
650	1088	583
651	1089	581
652	1090	579
653	1092	577
654	1093	575
655	1094	574
656	1095	572
657	1097	570
658	1098	568
659	1099	566
660	1100	564
661	1102	562
662	1103	560
663	1104	558
664	1105	557
665	1107	555
666	1108	553
667	1109	551
668	1110	549
669	1111	547
670	1112	545
671	1114	543
672	1115	542
673	1116	540
674	1118	538
675	1119	536
676	1120	534
677	1121	532
678	1122	530
679	1123	528
680	1125	527
681	1126	525
682	1127	523
683	1128	521
684	1129	519
685	1131	517
686	1132	516
687	1134	514
688	1135	512
689	1136	510
690	1138	508
691	1139	507
692	1140	505
693	1141	503
694	1143	501
695	1144	499
696	1145	497
697	1146	496
698	1148	494
699	1149	492
700	1150	490
701	1151	488
702	1152	487
703	1153	485
704	1155	483
705	1155	481
706	1157	479
707	1158	477
708	1159	476
709	1161	474
710	1162	472
711	1163	470
712	1164	468
713	1165	466
714	1167	465
715	1168	463
716	1169	461
717	1170	459
718	1172	458
719	1173	456
720	1174	454
721	1175	452
722	1177	450
723	1178	449
724	1179	447
725	1180	445
726	1181	443
727	1183	442
728	1184	440
729	1185	438
730	1186	436
731	1188	435
732	1189	433
733	1190	431
734	1191	429
735	1192	427
736	1194	426
737	1195	424
738	1196	422
739	1197	420
740	1198	419
741	1199	417
742	1201	415
743	1202	413
744	1203	412
745	1205	410
746	1206	408
747	1207	406
748	1209	405
749	1210	403
750	1211	401
751	1212	399
752	1214	398
753	1215	396
754	1216	394
755	1217	393
756	1219	391
757	1220	389
758	1221	387
759	1222	386
760	1224	384
761	1225	382
762	1226	380
763	1227	379
764	1229	377
765	1230	375
766	1231	374
767	1232	372
768	1233	370
769	1235	368
770	1236	367
771	1237	365
772	1238	363
773	1239	361
774	1240	360
775	1242	358
776	1243	356
777	1244	355
778	1245	353
779	1247	351
780	1248	350
781	1249	348
782	1250	346
783	1251	344
784	1253	343
785	1254	341
786	1255	339
787	1257	338
788	1258	336
789	1259	334
790	1261	333
791	1262	331
792	1263	329
793	1264	328
794	1265	326
795	1266	324
796	1268	323
797	1269	321
798	1270	319
799	1271	317
800	1273	316
801	1274	314
802	1275	312
803	1276	311
804	1277	309
805	1279	307
806	1280	306
807	1281	304
808	1282	302
809	1283	301
810	1285	299
811	1286	297
812	1287	296
813	1288	294
814	1289	292
815	1291	291
816	1292	289
817	1293	287
818	1294	286
819	1295	284
820	1296	282
821	1298	281
822	1299	279
823	1300	277
824	1301	276
825	1302	274
826	1304	272
827	1305	271
828	1306	269
829	1307	267
830	1309	266
831	1310	264
832	1311	262
833	1312	261
834	1314	259
835	1315	258
836	1316	256
837	1317	254
838	1318	253
839	1320	251
840	1321	249
841	1322	248
842	1323	246
843	1324	244
844	1326	243
845	1327	241
846	1328	239
847	1329	238
848	1330	236
849	1331	235
850	1333	233
851	1334	231
852	1335	230
853	1336	228
854	1337	226
855	1339	225
856	1340	223
857	1341	222
858	1342	220
859	1343	218
860	1345	217
861	1346	215
862	1347	213
863	1348	212
864	1349	210
865	1351	209
866	1352	207
867	1353	205
868	1354	204
869	1356	202
870	1357	201
871	1358	199
872	1359	197
873	1360	196
874	1361	194
875	1363	192
876	1364	191
877	1365	189
878	1366	188
879	1367	186
880	1369	184
881	1370	183
882	1371	181
883	1372	180
884	1373	178
885	1375	176
886	1376	175
887	1377	173
888	1378	172
889	1380	170
890	1381	169
891	1382	167
892	1383	165
893	1385	164
894	1386	162
895	1387	161
896	1388	159
897	1390	157
898	1391	156
899	1392	154
900	1393	153
901	1394	151
902	1396	149
903	1397	148
904	1398	146
905	1399	145
906	1400	143
907	1402	142
908	1403	140
909	1404	138
910	1405	137
911	1406	135
912	1407	134
913	1409	132
914	1410	131
915	1412	129
916	1413	127
917	1414	126
918	1416	124
919	1417	123
920	1418	121
921	1419	120
922	1420	118
923	1422	116
924	1423	115
925	1424	113
926	1425	112
927	1427	110
928	1428	109
929	1429	107
930	1430	106
931	1431	104
932	1432	102
933	1434	101
934	1434	99
935	1436	98
936	1437	96
937	1439	95
938	1440	93
939	1441	92
940	1442	90
941	1443	88
942	1445	87
943	1446	85
944	1447	84
945	1448	82
946	1449	81
947	1451	79
948	1452	78
949	1453	76
950	1454	74
951	1456	73
952	1457	71
953	1458	70
954	1459	68
955	1461	67
956	1462	65
957	1463	64
958	1464	62
959	1466	61
960	1467	59
961	1468	58
962	1469	56
963	1471	54
964	1472	53
965	1473	51
966	1474	50
967	1475	48
968	1476	47
969	1478	45
970	1479	44
971	1480	42
972	1481	41
973	1482	39
974	1484	38
975	1485	36
976	1486	34
977	1487	33
978	1489	31
979	1490	30
980	1492	28
981	1493	27
982	1494	25
983	1496	24
984	1497	22
985	1498	21
986	1499	19
987	1500	18
988	1502	16
989	1503	15
990	1504	13
991	1505	12
992	1506	10
993	1508	9
994	1509	7
995	1510	6
996	1511	4
997	1513	3
998	1514	1
999	1515	0
